#Name #path #frames #speed
#Player
RightIdle /player/Right_Idle 2 15
LeftIdle /player/Left_Idle 2 15
RightWalk /player/Right_Run 8 7
LeftWalk /player/Left_Run 8 7
RightRun /player/Right_Run 8 5
LeftRun /player/Left_Run 8 5
RightJump /player/Right_Jump 8 5
LeftJump /player/Left_Jump 8 5
RightFall /player/Right_Fall 2 5
LeftFall /player/Left_Fall 2 5
RightLoot /player/Right_Loot 5 5
LeftLoot /player/Left_Loot 5 5
#machinegun
RightMachineGunIdle /player/Right_MachineGun_Idle 2 15
LeftMachineGunIdle /player/Left_MachineGun_Idle 2 15
RightMachineGunWalk /player/Right_MachineGun_Run 8 7
LeftMachineGunWalk /player/Left_MachineGun_Run 8 7
RightMachineGunRun /player/Right_MachineGun_Run 8 5
LeftMachineGunRun /player/Left_MachineGun_Run 8 5
RightMachineGunJump /player/Right_MachineGun_Jump 8 5
LeftMachineGunJump /player/Left_MachineGun_Jump 8 5
RightMachineGunFall /player/Right_MachineGun_Fall 2 5
LeftMachineGunFall /player/Left_MachineGun_Fall 2 5
RightMachineGunShoot /player/Right_MachineGun_Shoot 5 5
LeftMachineGunShoot /player/Left_MachineGun_Shoot 5 5
#shotgun 
RightShotgunIdle /player/Right_Shotgun_Idle 2 15
LeftShotgunIdle /player/Left_Shotgun_Idle 2 15
RightShotgunWalk /player/Right_Shotgun_Run 8 7
LeftShotgunWalk /player/Left_Shotgun_Run 8 7
RightShotgunRun /player/Right_Shotgun_Run 8 5
LeftShotgunRun /player/Left_Shotgun_Run 8 5
RightShotgunJump /player/Right_Shotgun_Jump 8 5
LeftShotgunJump /player/Left_Shotgun_Jump 8 5
RightShotgunFall /player/Right_Shotgun_Fall 2 5
LeftShotgunFall /player/Left_Shotgun_Fall 2 5
RightShotgunShoot /player/Right_Shotgun_Shoot 5 5
LeftShotgunShoot /player/Left_Shotgun_Shoot 5 5
#Pistol
RightPistolIdle /player/Right_Pistol_Idle 2 15
LeftPistolIdle /player/Left_Pistol_Idle 2 15
RightPistolWalk /player/Right_Pistol_Run 8 7
LeftPistolWalk /player/Left_Pistol_Run 8 7
RightPistolRun /player/Right_Pistol_Run 8 5
LeftPistolRun /player/Left_Pistol_Run 8 5
RightPistolJump /player/Right_Pistol_Jump 8 5
LeftPistolJump /player/Left_Pistol_Jump 8 5
RightPistolFall /player/Right_Pistol_Fall 2 5
LeftPistolFall /player/Left_Pistol_Fall 2 5
RightPistolShoot /player/Right_Pistol_Shoot 4 5
LeftPistolShoot /player/Left_Pistol_Shoot 4 5
#Chest
CommonChestOpen /lootable/Chest_Common 7 2
RareChestOpen /lootable/Chest_Rare 7 2
